Epoch,Loss_D,Loss_G,Time
185,-17.674646377563477,-518.4886474609375,2025-10-01 14:12:32
186,-19.14118003845215,-433.06842041015625,2025-10-01 14:13:47
187,-25.717510223388672,-319.0389709472656,2025-10-01 14:15:03
188,-30.880001068115234,-712.8221435546875,2025-10-01 14:16:19
189,-46.484657287597656,-727.602294921875,2025-10-01 14:17:34
190,-43.425209045410156,-687.2791137695312,2025-10-01 14:18:49
191,-35.3970832824707,-856.6170043945312,2025-10-01 14:20:04
192,-13.966562271118164,-701.123779296875,2025-10-01 14:21:19
193,-17.99189567565918,-467.07080078125,2025-10-01 14:22:34
194,-66.83946228027344,-642.046142578125,2025-10-01 14:23:49
195,-15.789802551269531,-442.34466552734375,2025-10-01 14:25:05
196,-10.133777618408203,-474.2923583984375,2025-10-01 14:26:20
197,-26.387468338012695,-571.7514038085938,2025-10-01 14:27:35
198,-7.089723110198975,-271.34588623046875,2025-10-01 14:28:50
199,-33.082149505615234,-561.7955932617188,2025-10-01 14:30:05
200,-34.66279983520508,-632.1495361328125,2025-10-01 14:31:20
201,-4.639614105224609,-1187.199462890625,2025-10-01 14:32:36
202,-20.708181381225586,-505.1194763183594,2025-10-01 14:33:51
203,-54.08171844482422,-230.94216918945312,2025-10-01 14:35:07
204,-11.435395240783691,-437.45880126953125,2025-10-01 14:36:23
205,-22.198638916015625,-501.9434814453125,2025-10-01 14:37:38
206,-21.116580963134766,-756.609130859375,2025-10-01 14:38:53
207,-1.1860599517822266,63.761444091796875,2025-10-01 14:40:08
208,-28.398662567138672,192.31265258789062,2025-10-01 14:41:24
209,-17.37824249267578,-49.68461608886719,2025-10-01 14:42:39
210,-28.703723907470703,-676.369384765625,2025-10-01 14:43:54
211,-25.80390167236328,-6.304402828216553,2025-10-01 14:45:09
212,-21.75298500061035,-281.7861022949219,2025-10-01 14:46:24
213,-11.596263885498047,-468.2094421386719,2025-10-01 14:47:39
214,1.2062792778015137,336.5733642578125,2025-10-01 14:48:54
215,-18.613182067871094,-224.37344360351562,2025-10-01 14:50:09
216,-1.112821102142334,-398.7765197753906,2025-10-01 14:51:24
217,-42.56221389770508,-453.88592529296875,2025-10-01 14:52:39
218,-14.651060104370117,499.1596374511719,2025-10-01 14:53:55
219,-25.409852981567383,-288.7151184082031,2025-10-01 14:55:12
220,-43.93338394165039,-272.5472106933594,2025-10-01 14:56:36
221,-10.762039184570312,-1009.8011474609375,2025-10-01 14:58:03
222,-28.679485321044922,-767.0527954101562,2025-10-01 14:59:28
223,-29.557432174682617,-580.0946044921875,2025-10-01 15:00:54
224,-34.45445251464844,-383.6805725097656,2025-10-01 15:02:23
225,-32.323638916015625,-724.68994140625,2025-10-01 15:03:48
226,-23.856460571289062,-669.2395629882812,2025-10-01 15:05:13
227,-10.797307968139648,-692.5035400390625,2025-10-01 15:06:40
228,-25.618125915527344,-978.2047729492188,2025-10-01 15:08:06
229,-18.375244140625,-280.4124450683594,2025-10-01 15:09:34
230,-22.804790496826172,-697.658935546875,2025-10-01 15:11:06
231,-22.4595947265625,-545.7339477539062,2025-10-01 15:12:38
232,-22.193988800048828,-687.8934326171875,2025-10-01 15:14:09
233,-47.243343353271484,-130.05364990234375,2025-10-01 15:15:40
234,-20.305850982666016,-264.30072021484375,2025-10-01 15:17:12
235,-26.302989959716797,71.65640258789062,2025-10-01 15:18:42
236,-55.32674026489258,-232.83497619628906,2025-10-01 15:20:12
237,-12.949234008789062,-307.97393798828125,2025-10-01 15:21:43
238,-4.858108997344971,-829.7677612304688,2025-10-01 15:23:13
239,-23.505813598632812,-1076.5478515625,2025-10-01 15:24:44
240,-22.870121002197266,-667.946533203125,2025-10-01 15:26:16
241,-17.988983154296875,-821.3191528320312,2025-10-01 15:27:46
242,-13.802752494812012,-666.2449340820312,2025-10-01 15:29:17
243,-7.2291717529296875,-937.6974487304688,2025-10-01 15:30:48
244,-29.853748321533203,-333.6415100097656,2025-10-01 15:32:12
245,-1.2978096008300781,426.29730224609375,2025-10-01 15:33:42
246,-30.26634407043457,-244.80422973632812,2025-10-01 15:35:13
247,-5.992362022399902,89.74897003173828,2025-10-01 15:36:45
248,-25.30532455444336,178.3248291015625,2025-10-01 15:38:16
249,-37.36515808105469,-671.3812866210938,2025-10-01 15:39:48
250,-8.947565078735352,-145.96478271484375,2025-10-01 15:41:20
